"id";"left";"top";"right";"bottom";"centrdY";"centrdX";"swo";"pgo";"ioo";"all_sp"
248;-9.524;36.9955;-8.524;35.9955;36.496;-9.024;10.1154297015734;12.6607042816499;0.875788504195616;23.6519224874189
249;-9.524;35.9955;-8.524;34.9955;35.496;-9.024;11.6095200771622;8.76338147490806;0.53626491135586;20.9091664634262
268;-8.524;36.9955;-7.524;35.9955;36.495;-8.024;9.02183056265795;14.3757174338674;1.18688008143812;24.5844280779635
269;-8.524;35.9955;-7.524;34.9955;35.496;-8.024;11.1083784562166;8.48332223750562;0.652745700713126;20.2444463944353
288;-7.524;36.9955;-6.524;35.9955;36.495;-7.024;7.98500276838526;15.5018049105199;1.55655779607203;25.0433654749771
289;-7.524;35.9955;-6.524;34.9955;35.496;-7.024;10.634749386398;7.66724481360794;0.769696812904492;19.0716910129105
348;-4.524;36.9955;-3.524;35.9955;36.359;-4.017;7.26067519866727;1.26633081135987;NA;8.52700601002714
368;-3.524;36.9955;-2.524;35.9955;36.364;-3.022;6.19959549584545;1.07745032442593;NA;7.27704582027138
388;-2.524;36.9955;-1.524;35.9955;36.445;-1.998;5.23595564325284;0.695273209121674;NA;5.93122885237452
389;-2.524;35.9955;-1.524;34.9955;35.56;-2.033;5.57700712040705;5.49928597325438;NA;11.0762930936614
407;-1.524;37.9955;-0.524000000000001;36.9955;37.352;-0.957;4.77374693194107;0.102341114794902;NA;4.87608804673598
408;-1.524;36.9955;-0.524000000000001;35.9955;36.496;-1.024;4.50321797987224;0.383559204195943;NA;4.88677718406818
424;-0.524000000000001;40.9955;0.475999999999999;39.9955;40.142;0.332;6.48004840591727;0.158056007646272;NA;6.63810441356355
425;-0.524000000000001;39.9955;0.475999999999999;38.9955;39.471;0.127;6.78120557187271;0.194648403897537;NA;6.97585397577024
426;-0.524000000000001;38.9955;0.475999999999999;37.9955;38.4;0.073;5.93216212891493;0.0853478252045532;NA;6.01750995411949
427;-0.524000000000001;37.9955;0.475999999999999;36.9955;37.496;-0.024;4.74584298397544;0.055919699151105;NA;4.80176268312655
443;0.475999999999999;41.9955;1.476;40.9955;41.056;1.278;6.82833100533009;0.361139080684929;NA;7.18947008601502
444;0.475999999999999;40.9955;1.476;39.9955;40.447;1.03;6.91683488874925;0.381823836059082;NA;7.29865872480833
445;0.475999999999999;39.9955;1.476;38.9955;39.502;0.97;7.45176960281863;0.329755245865102;NA;7.78152484868373
446;0.475999999999999;38.9955;1.476;37.9955;38.481;0.961;6.64407522548668;0.0690530200647447;NA;6.71312824555142
447;0.475999999999999;37.9955;1.476;36.9955;37.496;0.976;4.55465958670702;0.0215095601633679;NA;4.57616914687039
463;1.476;41.9955;2.476;40.9955;41.171;2.078;8.82216941065331;1.09950036772789;NA;9.92166977838121
464;1.476;40.9955;2.476;39.9955;40.496;1.976;7.84528908436055;1.09000785941079;NA;8.93529694377134
465;1.476;39.9955;2.476;38.9955;39.501;1.977;7.02785679505057;0.242196694444913;NA;7.27005348949548
466;1.476;38.9955;2.476;37.9955;38.493;1.98;5.89428066481112;0.0690699332689211;NA;5.96335059808004
467;1.476;37.9955;2.476;36.9955;37.496;1.976;3.87851242800879;0.0336183190031909;NA;3.91213074701198
468;1.476;36.9955;2.476;35.9955;36.785;1.957;2.81554880477132;0.0175829818923563;NA;2.83313178666368
483;2.476;41.9955;3.476;40.9955;41.401;3.034;12.9865955263577;0.865641658207488;NA;13.8522371845652
484;2.476;40.9955;3.476;39.9955;40.496;2.976;8.95043310385861;0.901327176629349;NA;9.85176028048796
485;2.476;39.9955;3.476;38.9955;39.421;2.974;6.16682255769785;0.152720526837779;NA;6.31954308453563
486;2.476;38.9955;3.476;37.9955;38.496;2.976;4.50694898111152;0.0805289613633423;NA;4.58747794247487
504;3.476;40.9955;4.476;39.9955;40.507;3.975;10.3009258895751;0.316105766395685;NA;10.6170316559707
505;3.476;39.9955;4.476;38.9955;39.473;3.969;5.54395585188044;0.13571643529114;NA;5.67967228717158
506;3.476;38.9955;4.476;37.9955;38.496;3.976;3.19650706982149;0.0973482305708818;NA;3.29385530039238
525;4.476;39.9955;5.476;38.9955;39.496;4.976;4.97656143148509;0.114618337240746;NA;5.09117976872583
